Sector,INDIA,CHINA,CANADA,SOUTH KOREA,MEXICO,OTHER COUNTRIES
IT,19108,953,860,150,212,2959
Advanced Mfg,3732,620,533,394,319,1916
Other,2287,439,318,1164,349,3002
Education Services,472,325,236,346,178,2167
Finance,1947,468,225,166,73,1408
Health Care,826,36,205,208,33,1833
Aerospace,786,128,144,48,31,618
Retail,705,63,98,212,66,521
Hospitality,150,66,13,138,293,549
Construction,90,25,23,54,194,627
Automotive,99,22,36,70,52,198
Energy,174,30,55,3,13,204
Transportation,133,22,14,44,23,196
Biotechnology,86,46,19,7,5,73
Agribusiness,4,25,5,73,163,68
Geospatial,15,15,7,1,0,17
Homeland Security,7,0,0,2,1,18